"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough"
"1","01M015","P.S. 015 Roberto Clemente",190,0.89,0.479,0.274,0.032,0.258,0.847,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan"
"2","01M019","P.S. 019 Asher Levy",257,0.679,0.556,0.191,0.062,0.35,0.77,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan"
"3","01M020","P.S. 020 Anna Silver",497,0.8,0.509,0.103,0.032,0.237,0.736,0,0,0,0,0,0,3,3,3,1,2,0,0,0,3,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan"
"4","01M034","P.S. 034 Franklin D. Roosevelt",333,0.937,0.55,0.318,0.027,0.372,0.979,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan"
"5","01M063","The STAR Academy - P.S.63",203,0.762,0.507,0.182,0.118,0.33,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"6","01M064","P.S. 064 Robert Simon",245,0.882,0.588,0.208,0.053,0.298,0.922,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"7","01M110","P.S. 110 Florence Nightingale",379,0.58,0.562,0.098,0.261,0.127,0.625,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan"
"8","01M134","P.S. 134 Henrietta Szold",297,0.901,0.559,0.215,0.037,0.418,0.919,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan"
"9","01M140","P.S. 140 Nathan Straus",371,0.913,0.509,0.124,0.027,0.329,0.884,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,"K to 8","SC","Manhattan"
"10","01M142","P.S. 142 Amalia Castro",340,0.911,0.553,0.126,0.003,0.374,0.976,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,2,2,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan"
"11","01M184","P.S. 184m Shuang Wen",684,0.653,0.501,0.037,0.073,0.165,0.68,0,0,0,0,0,0,2,0,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan"
"12","01M188","P.S. 188 The Island School",433,0.954,0.573,0.293,0.028,0.312,0.921,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,"K to 8","SC","Manhattan"
"13","01M315","The East Village Community School",318,0.369,0.494,0.053,0.575,0.176,0.27,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"14","01M332","University Neighborhood Middle School",203,0.848,0.567,0.232,0.039,0.438,0.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan"
"15","01M361","The Children's Workshop School",315,0.505,0.537,0.092,0.352,0.232,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"16","01M363","Neighborhood School",304,0.478,0.51,0.092,0.461,0.227,0.438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"17","01M364","Earth School",355,0.554,0.546,0.113,0.341,0.29,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"18","01M378","School for Global Leaders",256,0.853,0.566,0.273,0.016,0.391,0.828,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan"
"19","01M450","East Side Community School",683,0.629,0.536,0.165,0.146,0.266,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan"
"20","01M539","New Explorations into Science, Technology and Math",1734,0.282,0.521,0.077,0.399,0.081,0.239,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,4,3,4,4,4,0,0,0,0,0,0,1,0,0,1,0,"Middle","GT","Manhattan"
"21","01M839","Tompkins Square Middle School",373,0.68,0.469,0.137,0.209,0.276,0.694,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan"
"22","02M001","P.S. 001 Alfred E. Smith",318,0.843,0.503,0.176,0.019,0.283,0.808,0,0,0,0,0,0,3,1,1,1,2,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan"
"23","02M002","P.S. 002 Meyer London",552,0.91,0.527,0.053,0.009,0.228,0.966,0,0,0,0,0,0,2,2,2,3,3,0,0,0,2,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan"
"24","02M003","P.S. 003 Charrette School",753,0.202,0.51,0.057,0.667,0.208,0.219,0,0,0,0,0,0,3,0,0,1,2,0,0,0,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan"
"25","02M006","P.S. 006 Lillie D. Blake",694,0.124,0.51,0.024,0.745,0.17,0.12,0,0,0,0,0,0,4,2,2,3,3,0,0,0,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"26","02M011","P.S. 011 William T. Harris",923,0.344,0.498,0.062,0.473,0.148,0.3,2,2,2,2,3,2,3,3,2,3,2,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan"
"27","02M033","P.S. 033 Chelsea Prep",650,0.499,0.474,0.18,0.229,0.155,0.482,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan"
"28","02M040","P.S. 040 Augustus Saint-Gaudens",673,0.164,0.486,0.015,0.617,0.174,0.1,0,0,0,0,0,0,4,2,2,2,2,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"29","02M041","P.S. 041 Greenwich Village",694,0.078,0.458,0.013,0.69,0.156,0.094,0,0,0,0,0,0,3,3,2,3,3,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"30","02M042","P.S. 042 Benjamin Altman",653,0.824,0.53,0.014,0.025,0.172,0.763,0,0,0,0,0,0,2,2,2,2,3,0,0,0,3,2,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"31","02M051","P.S. 051 Elias Howe",453,0.602,0.488,0.159,0.179,0.227,0.594,0,0,0,0,0,0,2,1,1,1,1,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"32","02M059","P.S. 059 Beekman Hill International",614,0.087,0.49,0.013,0.614,0.166,0.094,0,0,0,0,0,0,3,3,3,1,2,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"33","02M077","P.S. 77 Lower Lab School",358,0.097,0.514,0.003,0.506,0.101,0.056,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"gifted","GT","Manhattan"
"34","02M089","P.S. 89",433,0.074,0.51,0.016,0.589,0.159,0.201,0,0,0,0,0,0,2,1,1,1,2,0,0,0,3,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"35","02M104","J.H.S. 104 Simon Baruch",1134,0.426,0.534,0.075,0.347,0.175,0.451,0,0,0,0,0,0,0,0,0,0,0,9,8,8,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan"
"36","02M111","P.S. 111 Adolph S. Ochs",395,0.629,0.552,0.149,0.17,0.215,0.623,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan"
"37","02M114","East Side Middle School",450,0.11,0.451,0.036,0.676,0.158,0.111,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan"
"38","02M116","P.S. 116 Mary Lindley Murray",539,0.353,0.494,0.117,0.404,0.178,0.364,0,0,0,0,0,0,2,2,2,2,3,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan"
"39","02M124","P.S. 124 Yung Wing",724,0.658,0.51,0,0.017,0.131,0.564,1,1,1,1,1,1,2,2,2,2,3,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan"
"40","02M126","P.S. 126 Jacob August Riis",784,0.78,0.54,0.093,0.079,0.194,0.8,0,0,0,0,0,0,1,1,2,2,2,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan"
"41","02M130","P.S. 130 Hernando De Soto",913,0.605,0.522,0.01,0.033,0.143,0.484,1,1,1,2,1,1,3,3,4,3,4,0,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan"
